DateTime [UTC],BandStart_Latitude,BandStart_Longitude,BandMidpoint_Latitude,BandMidpoint_Longitude,BandEnd_Latitude,BandEnd_Longitude,BandIntensity [dBZ],BandAz_LO1 [deg],BandRng_LO1 [km],WaterTemp_Ontario [degC],IceCover_Ontario [%],IceCover_Huron [%],IceCover_Erie [%],z_925mb [m],T_925mb [degC],dT/dz_water-925hPa [degC/km],RH_925mb [%],u_925mb [kt],v_925mb [kt],z_850mb [m],T_850mb [degC],dT/dz_water-850hPa [degC/km],RH_850mb [%],u_850mb [kt],v_850mb [kt],bulkshear_925-850hPa [kt],z_700mb [m],T_700mb [degC],dT/dz_water-700hPa [degC/km],RH_700mb [%],u_700mb [kt],v_700mb [kt],bulkshear_925-700hPa [kt],z_500mb [m],T_500mb [degC],RH_500mb [%],u_500mb [kt],v_500mb [kt],bulkshear_925-500hPa [kt]
2015-10-17 10:00:00,43.535946,-76.22332,43.35389555000001,-75.329963,43.234745,-74.595901,-9999.0,95.17507780950555,95.98174934592268,13.26,0.0,0.0,0.0,803.81,-2.83,20.017168236274742,74.37,6.59,-15.85,1467.96,-7.52,10.96078912231941,73.32,12.35,-14.75,30.18,2961.09,-14.01,5.433809847049567,43.55,23.59,-9.42,22.64,5437.26,-30.38,27.49,37.65,-12.4,26.86
2015-10-17 11:00:00,43.532036,-76.21719399999998,43.33464586666666,-75.37351126666667,43.143089,-74.490379,4.0,95.40099588105859,96.51867944033846,13.26,0.0,0.0,0.0,804.51,-1.72,18.62002958322457,68.59,7.45,-15.29,1470.55,-7.6,10.186664853286185,99.12,15.62,-13.79,30.04,2962.97,-14.46,5.055737992622268,33.73,22.43,-11.62,26.97,5438.25,-29.61,25.61,36.14,-13.87,30.15
2015-10-17 12:00:00,43.521149,-76.23201,43.34632557894738,-75.61854384210524,43.195889,-74.990135,1.5,96.200388545156,95.4723304113733,13.26,0.0,0.0,0.0,810.72,-1.56,18.280047365304913,64.15,7.17,-16.18,1476.62,-7.45,10.03643456000867,74.68,14.95,-17.09,34.31,2964.81,-15.17,4.9986339765448715,37.17,22.2,-12.7,28.1,5432.29,-30.14,19.75,34.44,-13.16,28.75
2015-10-17 13:00:00,43.518513,-76.217072,43.33936375,-75.83246806250001,43.176296,-75.413177,5.0,96.28551199454462,96.70286714550524,13.26,0.0,0.0,0.0,816.24,-1.11,17.605116142311086,58.38,7.55,-17.1,1483.09,-7.0,9.689229918615862,58.03,12.84,-16.28,33.7,2970.15,-15.64,4.838139487904651,55.3,23.37,-11.55,27.01,5436.76,-30.23,16.43,35.66,-11.93,27.55
2015-10-17 14:00:00,43.56590300000001,-76.202736,43.25989120588236,-75.6042333529412,42.989628,-75.002983,6.5,93.12400168747476,97.34480041028736,13.26,0.0,0.0,0.0,817.79,-1.43,17.963046747942624,66.92,6.55,-15.72,1484.12,-7.0,9.898121445705199,61.74,10.13,-16.88,33.14,2970.41,-15.94,4.945445241565979,64.36,23.26,-12.2,26.52,5440.28,-29.95,15.63,35.6,-10.08,23.52
2015-10-17 15:00:00,43.520275,-76.24410999999998,43.308832965517254,-75.7143985862069,43.105186,-75.176529,-9999.0,96.33093800960265,94.51674055992365,13.26,0.0,0.0,0.0,817.59,-2.22,18.93369537298646,78.68,7.83,-9.42,1482.35,-7.69,10.442877862852903,98.77,11.09,-11.06,26.71,2967.6,-16.32,5.216336433481602,61.53,22.4,-10.22,25.53,5435.07,-30.36,14.61,35.4,-10.51,25.94
2015-10-17 16:00:00,43.542065,-76.211487,43.41633731250001,-76.00987537500002,43.294449,-75.802109,21.5,94.7161480644381,96.86176505881262,13.26,0.0,0.0,0.0,822.08,-1.48,17.930128454651616,79.46,7.42,-8.57,1487.66,-7.51,9.908177943885027,99.22,8.97,-9.15,23.43,2972.4,-16.71,4.95895572601265,56.28,18.36,-10.86,25.85,5433.78,-30.94,14.66,34.38,-9.79,24.34
2015-10-17 17:00:00,43.55291,-76.205612,43.35791466666666,-75.88803740740741,43.160301,-75.54085500000002,26.5,93.98229822993632,97.22426496000284,13.26,0.0,0.0,0.0,821.25,-1.06,17.43683409436834,75.09,5.88,-5.45,1487.83,-7.31,9.624755516423248,95.11,8.19,-6.44,17.42,2970.2,-17.52,4.821224159989227,98.83,21.3,-11.69,24.85,5429.6,-31.25,15.1,33.93,-9.08,21.16
2015-10-17 18:00:00,43.591312,-76.189423,43.44836215789474,-75.90088563157894,43.276028,-75.59992199999998,-9999.0,91.43811815318978,98.26140581488579,13.26,0.0,0.0,0.0,819.16,-0.43,16.712241808682062,66.12,7.19,-7.41,1487.0,-6.88,9.206455951580363,92.12,7.78,-8.74,22.53,2969.18,-17.76,4.610700597471356,84.31,20.75,-10.48,24.99,5427.61,-31.27,16.88,33.05,-11.83,26.9
2015-10-17 19:00:00,43.566925,-76.200417,43.39847776,-75.81028712,43.191826,-75.377487,16.0,93.0498672608868,97.5233135197127,13.26,0.0,0.0,0.0,820.17,-0.42,16.679468890595853,67.24,8.21,-5.44,1488.64,-6.39,9.189595872742904,78.75,10.5,-6.22,20.41,2970.58,-18.85,4.605161281635236,80.41,18.49,-11.45,27.8,5424.35,-31.42,18.96,32.78,-12.09,28.71
